Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,26.820000,28.070000,26.660000,27.980000,16.651794,90417700
2022-06-28,28.580000,28.830000,28.020000,28.330000,16.860090,51388000
2022-06-29,28.480000,28.820000,27.840000,28.080000,16.711309,52048800
2022-06-30,27.650000,28.059999,27.400000,27.930000,16.622038,49910100
2022-07-01,28.080000,28.850000,27.520000,28.530001,16.979118,64948200
2022-07-04,28.540001,29.280001,28.540001,29.139999,17.342146,37324200
2022-07-05,28.900000,28.950001,27.549999,28.030001,16.681553,78428500
2022-07-06,28.160000,28.480000,26.910000,27.670000,16.467304,57617200
2022-07-07,28.000000,28.920000,28.000000,28.480000,16.949362,52147300
2022-07-08,28.530001,28.969999,28.370001,28.799999,17.139803,43097800
2022-07-11,28.320000,28.790001,28.250000,28.660000,17.056486,39577600
2022-07-12,28.299999,28.430000,27.969999,28.230000,16.800579,46462000
2022-07-13,28.129999,28.480000,27.980000,28.250000,16.812481,35497200
2022-07-14,28.000000,28.000000,27.240000,27.490000,16.360182,47151000
2022-07-15,27.700001,28.049999,27.490000,27.959999,16.639893,38610800
2022-07-18,28.389999,28.690001,28.299999,28.600000,17.020779,46782300
2022-07-19,28.549999,29.240000,28.400000,29.180000,17.365953,48562300
2022-07-20,29.070000,29.219999,28.830000,29.170000,17.360001,43520800
2022-07-21,28.980000,29.129999,28.200001,29.020000,17.270733,58843200
2022-07-22,29.040001,29.469999,28.850000,29.330000,17.455223,55676200
2022-07-25,29.610001,30.750000,29.610001,30.700001,18.270554,79106600
2022-07-26,31.200001,31.620001,30.590000,31.010000,18.455046,78360100
2022-07-27,31.299999,31.469999,30.620001,31.350000,18.657389,56097200
2022-07-28,31.590000,32.630001,31.430000,32.290001,19.216816,114996500
2022-07-29,33.599998,34.660000,32.830002,34.150002,20.323761,181480600
2022-08-01,34.000000,34.150002,33.220001,33.680000,20.044048,81365100
2022-08-02,33.770000,34.500000,33.480000,33.830002,20.133320,69147100
2022-08-03,34.009998,34.160000,33.560001,33.849998,20.145220,65544500
2022-08-04,34.080002,34.400002,33.580002,34.209999,20.359467,54387500
2022-08-05,34.150002,35.060001,34.119999,34.869999,20.752254,77882600
2022-08-08,35.139999,36.770000,35.130001,36.630001,21.799688,109484600
2022-08-09,37.009998,37.459999,36.849998,37.230000,22.156767,79051200
2022-08-10,37.650002,37.650002,36.610001,37.110001,22.085350,78369600
2022-08-11,37.450001,37.860001,36.250000,36.250000,21.573538,128896500
2022-08-12,29.100000,31.830000,29.080000,31.709999,23.175585,171288300
2022-08-15,30.879999,32.230000,30.549999,31.719999,23.182896,96759000
2022-08-16,31.719999,32.070000,31.500000,32.009998,23.394842,64218800
2022-08-17,31.650000,32.820000,31.600000,32.759998,23.942987,72924700
2022-08-18,33.099998,33.660000,32.869999,33.419998,24.425354,84552500
2022-08-19,32.919998,33.150002,31.330000,31.730000,23.190203,125178200
2022-08-22,31.740000,32.580002,30.480000,32.410000,23.687189,92400300
2022-08-23,32.630001,33.500000,32.619999,33.439999,24.439974,73215800
2022-08-24,33.540001,34.119999,33.250000,33.639999,24.586145,61067900
2022-08-25,34.099998,34.360001,32.669998,33.279999,24.323034,99511600
2022-08-26,33.279999,33.669998,32.570000,33.639999,24.586145,63545400
2022-08-29,33.549999,35.080002,33.450001,34.480000,25.200068,73339500
2022-08-30,34.000000,34.220001,32.270000,32.430000,23.701807,99361100
2022-08-31,32.070000,33.439999,31.820000,33.230000,24.286493,114235400
2022-09-01,33.360001,33.950001,32.759998,33.849998,24.739628,69184700
2022-09-02,34.439999,34.570000,33.259998,33.419998,24.425354,81792300
2022-09-05,33.849998,34.110001,33.150002,33.340000,24.366888,76337600
2022-09-06,32.270000,32.590000,31.510000,32.099998,23.460619,111813500
2022-09-08,32.310001,32.779999,31.400000,31.799999,23.241364,63159800
2022-09-09,32.490002,32.669998,31.700001,31.790001,23.234055,49871900
2022-09-12,32.150002,32.730000,31.459999,31.480000,23.007488,71374500
2022-09-13,30.940001,31.440001,30.520000,30.650000,22.400873,88327800
2022-09-14,30.750000,31.430000,30.629999,31.120001,22.744379,49039700
2022-09-15,30.920000,31.230000,30.799999,31.059999,22.700527,45553200
2022-09-16,30.860001,30.950001,30.340000,30.780001,22.495884,107303600
2022-09-19,30.500000,31.379999,29.879999,31.270000,22.854008,65559900
2022-09-20,31.420000,31.600000,30.840000,31.090000,22.722454,67798200
2022-09-21,31.350000,31.469999,30.889999,31.170000,22.780922,58812200
2022-09-22,31.480000,32.080002,31.030001,31.940001,23.343683,69764300
2022-09-23,31.320000,31.389999,29.770000,29.940001,21.881964,138630800
2022-09-26,29.719999,30.080000,29.270000,29.290001,21.406904,42934600
2022-09-27,29.660000,29.879999,29.580000,29.670000,21.684631,71087600
2022-09-28,29.670000,29.820000,28.580000,29.270000,21.392286,104670700
2022-09-29,28.990000,29.400000,28.600000,29.309999,21.421520,87536500
2022-09-30,29.219999,30.490000,29.000000,29.799999,21.779642,121637100
2022-10-03,31.910000,32.639999,31.660000,32.180000,23.519091,179694100
2022-10-04,32.900002,32.980000,31.070000,31.370001,22.927094,115917200
2022-10-05,31.410000,32.820000,31.200001,32.549999,23.789509,92893700
2022-10-06,33.000000,33.790001,32.439999,33.660000,24.600763,82671900
2022-10-07,33.580002,34.320000,33.220001,33.630001,24.578840,73500100
2022-10-10,33.650002,33.889999,33.000000,33.250000,24.301111,52222600
2022-10-11,32.889999,33.330002,32.610001,33.000000,24.118397,58332400
2022-10-13,32.500000,34.490002,32.410000,33.939999,24.805403,91143900
2022-10-14,33.970001,34.139999,33.299999,33.419998,24.425354,62246100
2022-10-17,33.240002,34.150002,32.840000,33.389999,24.403431,100936400
2022-10-18,33.900002,34.230000,33.160000,34.209999,25.002735,82313200
2022-10-19,34.130001,35.560001,34.020000,35.419998,25.887077,113700900
2022-10-20,36.099998,36.549999,35.770000,36.470001,26.654482,114347400
2022-10-21,36.450001,38.389999,36.389999,37.720001,27.568058,139601400
2022-10-24,36.500000,36.820000,34.230000,34.250000,25.031971,142110900
2022-10-25,34.040001,34.500000,33.209999,33.529999,24.505751,113161200
2022-10-26,32.599998,33.529999,31.900000,32.709999,23.906445,121334800
2022-10-27,32.810001,33.540001,32.669998,32.959999,24.089161,111008800
2022-10-28,32.700001,33.119999,31.860001,32.570000,23.804125,129745400
2022-10-31,30.610001,31.600000,29.160000,29.809999,21.786951,262409400
2022-11-01,30.570000,30.670000,29.559999,29.860001,21.823494,115944200
2022-11-03,29.799999,30.389999,29.440001,29.950001,21.889273,139062100
2022-11-04,30.799999,30.900000,28.180000,28.299999,20.683352,195361000
2022-11-07,27.959999,28.299999,27.070000,27.150000,19.842863,117206600
2022-11-08,27.059999,27.530001,26.750000,27.350000,19.989035,94745400
2022-11-09,27.150000,27.950001,26.639999,26.900000,19.660147,103303500
2022-11-10,26.080000,26.889999,25.610001,26.120001,19.090076,145470100
2022-11-11,25.799999,27.360001,25.700001,26.990000,19.725925,146365800
2022-11-14,27.260000,28.180000,27.090000,27.700001,20.244837,66639500
2022-11-16,27.809999,28.110001,26.930000,27.150000,19.842863,85549900
2022-11-17,27.000000,27.299999,26.549999,27.160000,19.850170,101525800
2022-11-18,27.400000,27.600000,26.219999,26.700001,19.513975,127683500
2022-11-21,27.120001,27.570000,26.049999,26.780001,19.572445,164898100
2022-11-22,23.000000,23.430000,22.299999,23.330000,19.487991,164261300
2022-11-23,23.000000,23.650000,22.799999,23.440001,19.579878,77317300
2022-11-24,23.520000,24.629999,23.250000,24.250000,20.256487,94233800
2022-11-25,24.260000,24.330000,23.600000,23.860001,19.930714,58635900
2022-11-28,23.650000,24.549999,23.540001,24.360001,20.348372,56067400
2022-11-29,24.600000,25.879999,24.480000,25.379999,21.200396,96151500
2022-11-30,25.600000,26.660000,25.500000,26.660000,22.269604,120774700
2022-12-01,26.580000,26.790001,25.559999,25.590000,21.375813,71259400
2022-12-02,25.690001,26.450001,25.309999,25.910000,21.643116,66301000
2022-12-05,26.000000,26.580000,25.549999,25.620001,21.400873,56065400
2022-12-06,25.820000,26.389999,25.420000,25.639999,21.417580,74991200
2022-12-07,25.340000,26.070000,25.270000,25.350000,21.175337,57008400
2022-12-08,25.549999,25.790001,24.639999,24.780001,20.699205,55567700
2022-12-09,24.990000,25.049999,24.490000,24.709999,20.640732,61586200
2022-12-12,24.580000,24.660000,23.129999,23.910000,19.972479,111293100
2022-12-13,24.100000,24.200001,23.309999,23.320000,19.479639,102533100
2022-12-14,22.500000,22.600000,20.770000,21.469999,17.934299,319501600
2022-12-15,21.000000,22.370001,20.830000,22.040001,18.410431,132385600
2022-12-16,21.959999,22.110001,21.510000,22.049999,18.418783,90767300
2022-12-19,22.100000,22.510000,21.639999,22.379999,18.694439,63074100
2022-12-20,22.389999,23.240000,22.209999,23.070000,19.270809,71875500
2022-12-21,23.500000,23.719999,22.850000,23.570000,19.688469,74252800
2022-12-22,23.900000,24.559999,23.700001,23.990000,20.039303,81894800
